locale,af-ZA,ar,az-AZ,bg-BG,bn-BD,bs-BA,ca,cs,da,de,el,en,es,et-EE,eu,fa-IR,fi,fr,ga-IE,gl-ES,gu-IN,he,hi-IN,hr-HR,hu,id,it,ja,ka-GE,kk-KZ,km-KH,kn-IN,ko,ky-KG,lt-LT,lv-LV,mk-MK,ml-IN,mr-IN,ms,my,nb,nl,pa-IN,pl,pt-BR,pt-PT,ro-RO,ru,sk-SK,sl-SI,sq-AL,sr,sv,sw,ta-IN,te-IN,th,tl-PH,tr,ug,uk-UA,ur,vi,yue,zh-CN,zh-HK,zh-Hant
de,Afrikaans,Arabisch,Aserbaidschanisch,Bulgarisch,Bengalisch,Bosnisch,Katalanisch,Tschechisch,Dänisch,Deutsch,Griechisch,Englisch,Spanisch,Estnisch,Baskisch,Persisch,Finnisch,Französisch,Irisch,Galizisch,Gujarati,Hebräisch,Hindi,Kroatisch,Ungarisch,Indonesisch,Italienisch,Japanisch,Georgisch,Kasachisch,Khmer,Kannada,Koreanisch,Kirgisisch,Litauisch,Lettisch,Mazedonisch,Malayalam,Marathi,Malaiisch,Birmanisch,Norwegisch,Niederländisch,Punjabi,Polnisch,Portugiesisch (Brasilien),Portugiesisch (Portugal),Rumänisch,Russisch,Slowakisch,Slowenisch,Albanisch,Serbisch,Schwedisch,Suaheli,Tamil,Telugu,Thailändisch,Filipino,Türkisch,Uigurisch,Ukrainisch,Urdu,Vietnamesisch,Kantonesisch,Chinesisch,Chinesisch (Hongkong),Chinesisch (traditionell)
el,Αφρικάανς,Αραβικά,Αζερμπαϊτζανικά,Βουλγαρικά,Βεγγαλικά,Βοσνιακά,Καταλανικά,Τσεχικά,Δανικά,Γερμανικά,Ελληνικά,Αγγλικά,Ισπανικά,Εσθονικά,Βασκικά,Περσικά,Φινλανδικά,Γαλλικά,Ιρλανδικά,Γαλικιανά,Γκουτζαράτι,Εβραϊκά,Χίντι,Κροατικά,Ουγγρικά,Ινδονησιακά,Ιταλικά,Ιαπωνικά,Γεωργιανά,Καζακικά,Χμερ,Κάναντα,Κορεατικά,Κιργιζικά,Λιθουανικά,Λετονικά,Σλαβομακεδονικά,Μαλαγιαλάμ,Μαραθικά,Μαλαισιανά,Βιρμανικά,Νορβηγικά Μποκμάλ,Ολλανδικά,Παντζάμπι,Πολωνικά,Πορτογαλικά Βραζιλίας,Πορτογαλικά Ευρώπης,Ρουμανικά,Ρωσικά,Σλοβακικά,Σλοβενικά,Αλβανικά,Σερβικά,Σουηδικά,Σουαχίλι,Ταμίλ,Τελούγκου,Ταϊλανδικά,Φιλιππινέζικα,Τουρκικά,Ουιγουρικά,Ουκρανικά,Ούρντου,Βιετναμικά,Καντονέζικα,Κινεζικά (Κίνα),Κινεζικά (Χονγκ Κονγκ),Παραδοσιακά Κινεζικά
es,afrikáans,árabe,azerbaiyano,búlgaro,bengalí,bosnio,catalán,checo,danés,alemán,griego,inglés,español,estonio,euskera,persa,finés,francés,irlandés,gallego,guyaratí,hebreo,hindi,croata,húngaro,indonesio,italiano,japonés,georgiano,kazajo,jemer,canarés,coreano,kirguís,lituano,letón,macedonio,malayálam,maratí,malayo,birmano,noruego bokmal,neerlandés,punyabí,polaco,portugués de Brasil,portugués de Portugal,rumano,ruso,eslovaco,esloveno,albanés,serbio,sueco,suajili,tamil,telugu,tailandés,filipino,turco,uigur,ucraniano,urdu,vietnamita,cantonés,chino,chino de Hong Kong,chino tradicional
et-EE,afrikaani,araabia,aserbaidžaani,bulgaaria,bengali,bosnia,katalaani,tšehhi,taani,saksa,kreeka,inglise,hispaania,eesti,baski,pärsia,soome,prantsuse,iiri,galeegi,gudžarati,heebrea,hindi,horvaadi,ungari,indoneesia,itaalia,jaapani,gruusia,kasahhi,khmeeri,kannada,korea,kirgiisi,leedu,läti,makedoonia,malajalami,marathi,malai,birma,norra bokmåli,hollandi,pandžabi,poola,portugali (Brasiilia),portugali (Euroopa),rumeenia,vene,slovaki,sloveeni,albaania,serbia,rootsi,suahiili,tamili,telugu,tai,filipiini,türgi,uiguuri,ukraina,urdu,vietnami,kantoni,hiina (Hiina),hiina (Hongkong),traditsiooniline hiina
eu,Afrikaansa,Arabiera,Azerbaijanera,Bulgariera,Bengalera,Bosniera,Katalana,Txekiera,Daniera,Alemana,Greziera,Ingelesa,Gaztelania,Estoniera,Euskara,Persiera,Finlandiera,Frantsesa,Irlandera,Galiziera,Gujaratera,Hebreera,Hindia,Kroaziera,Hungariera,Indonesiera,Italiera,Japoniera,Georgiera,Kazakhera,Khmerera,Kannada,Koreera,Kirgizera,Lituaniera,Letoniera,Mazedoniera,Malabarera,Marathera,Malaysiera,Birmaniera,Norvegiera,Nederlandera,Punjabera,Poloniera,Portugesa (Brasil),Portugesa (Portugal),Errumaniera,Errusiera,Eslovakiera,Esloveniera,Albaniera,Serbiera,Suediera,Swahilia,Tamilera,Telugua,Thailandiera,Filipinera,Turkiera,Uigurrera,Ukrainera,Urdua,Vietnamera,Kantonera,Txinera (Txina),Txinera (Hong Kong),Txinera tradizionala
fa-IR,آفریقایی,عربی,آذربایجانی,بلغاری,بنگالی,بوسنیایی,کاتالان,چکی,دانمارکی,آلمانی,یونانی,انگلیسی,اسپانیایی,استونیایی,باسکی,فارسی,فنلاندی,فرانسوی,ایرلندی,گالیسیایی,گجراتی,عبری,هندی,کروات,مجاری,اندونزیایی,ایتالیایی,ژاپنی,گرجی,قزاق,خمر,کنادا,کره‌ای,قرقیزی,لیتوانیایی,لتونیایی,مقدونی,مالایالامی,مراتی,مالایی,برمه‌ای,نروژی بوک‌مُل,هلندی,پنجابی,لهستانی,پرتغالی برزیل,پرتغالی اروپا,رومانیایی,روسی,اسلواکی,اسلوونیایی,آلبانیایی,صربی,سوئدی,سواحیلی,تامیلی,تلوگو,تایلندی,فیلیپینی,ترکی استانبولی,اویغور,اوکراینی,اردو,ویتنامی,کانتونی,چینی (چین),چینی (هنگ‌کنگ),چینی سنتی
fi,afrikaans,arabia,azeri,bulgaria,bengali,bosnia,katalaani,tšekki,tanska,saksa,kreikka,englanti,espanja,viro,baski,persia,suomi,ranska,iiri,galicia,gudžarati,heprea,hindi,kroatia,unkari,indonesia,italia,japani,georgia,kazakki,khmer,kannada,korea,kirgiisi,liettua,latvia,makedonia,malajalam,marathi,malaiji,burma,norjan bokmål,hollanti,pandžabi,puola,brasilianportugali,euroopanportugali,romania,venäjä,slovakki,sloveeni,albania,serbia,ruotsi,swahili,tamili,telugu,thai,filipino,turkki,uiguuri,ukraina,urdu,vietnam,kantoninkiina,kiina (Kiina),kiina (Hongkong),kiina (perinteinen)
fr,afrikaans,arabe,azerbaïdjanais,bulgare,bengali,bosniaque,catalan,tchèque,danois,allemand,grec,anglais,espagnol,estonien,basque,persan,finnois,français,irlandais,galicien,goudjarati,hébreu,hindi,croate,hongrois,indonésien,italien,japonais,géorgien,kazakh,khmer,kannada,coréen,kirghize,lituanien,letton,macédonien,malayalam,marathi,malais,birman,norvégien bokmål,néerlandais,pendjabi,polonais,portugais brésilien,portugais européen,roumain,russe,slovaque,slovène,albanais,serbe,suédois,swahili,tamoul,télougou,thaï,filipino,turc,ouïghour,ukrainien,ourdou,vietnamien,cantonais,chinois,chinois,chinois traditionnel
ga-IE,Afracáinis,Araibis,Asarbaiseáinis,Bulgáiris,Beangáilis,Boisnis,Catalóinis,Seicis,Danmhairgis,Gearmáinis,Gréigis,Béarla,Spáinnis,Eastóinis,Bascais,Dairis,Fionlainnis,Fraincis,Gaeilge,Gailísis,Gúisearáitis,Eabhrais,Hiondúis,Cróitis,Ungáiris,Indinéisis,Iodáilis,Seapáinis,Seoirsis,Casaicis,Ciméiris,Cannadais,Cóiréis,Cirgisis,Liotuáinis,Laitvis,Macadóinis,Mailéalaimis,Maraitis,Malaeis,Burmais,Ioruais,Ísiltíris,Puinseáibis,Polainnis,Portaingéilis na Brasaíle,Portaingéilis na hEorpa,Rómáinis,Rúisis,Slóvaicis,Slóivéinis,Albáinis,Seirbis,Sualainnis,Svahaílis,Tamailis,Teileagúis,Téalainnis,Filipínis,Tuircis,Uigiúiris,Úcráinis,Urdúis,Vítneaimis,Cantainis,Sínis (an tSín),Sínis (Hong Cong),Sínis thraidisiúnta
gl-ES,afrikaans,árabe,acerbaixano,búlgaro,bengalí,bosníaco,catalán,checo,danés,alemán,grego,inglés,español,estoniano,vasco,persa ,finés,francés,irlandés,galego,guxarati,hebreo,hindi,croata,húngaro,lingua indonesia,italiano,xaponés,xeorxiano,casaco ,camboxano,kanarés,coreano,quirguiz,lituano,letón,macedonio,malayalam,marathi,malaio,birmano, noruegués bokmål ,neerlandés,punjabi,polaco,portugués (Brasil),portugués (Portugal),romanés,ruso,eslovaco,esloveno,albanés,serbio,sueco,suahili,támil,telugu,tailandés,filipino ,turco,uigur,ucraíno,urdú,vietnamita,cantonés,chinés (China),chinés (Hong Kong),chinés tradicional
gu-IN,આફ્રિકન્સ,અરબી,અઝરબૈજાની,બલ્ગેરિયન,બંગાળી,બોસ્નિયન,કતલાન,ચેક,ડેનિશ,જર્મન,ગ્રીક,અંગ્રેજી,સ્પેનિશ,એસ્ટોનિયન,બાસ્ક,ફારસી,ફિનિશ,ફ્રેન્ચ,આઇરિશ,ગેલિશિયન,ગુજરાતી,હીબ્રુ,હિન્દી,ક્રોએશિયન,હંગેરિયન,ઇન્ડોનેશિયન,ઇટાલિયન,જાપાનીઝ,જ્યોર્જિયન,કઝાખ,ખ્મેર,કન્નડ,કોરિયન,કિર્ગીઝ,લિથુઆનિયન,લાતવિયન,મેસેડોનિયન,મલયાલમ,મરાઠી,મલય,બર્મીઝ,નોર્વેજિયન બોકમાલ,ડચ,પંજાબી,પોલીશ,બ્રાઝિલીયન પોર્ટુગીઝ,યુરોપિયન પોર્ટુગીઝ,રોમાનિયન,રશિયન,સ્લોવૅક,સ્લોવેનિયન,અલ્બેનિયન,સર્બિયન,સ્વીડિશ,સ્વાહિલી,તમિલ,તેલુગુ,થાઈ,ફિલિપિનો,તુર્કી,ઉઇગુર,યુક્રેનિયન,ઉર્દૂ,વિયેતનામીસ,કેંટોનીઝ,ચાઇનીઝ (ચીન),ચાઇનીઝ (હોંગકોંગ),પારંપરિક ચાઇનીઝ
he,אפריקאנס,ערבית,אזרית,בולגרית,בנגלית,בוסנית,קטלאנית,צ׳כית,דנית,גרמנית,יוונית,אנגלית,ספרדית,אסטונית,בסקית,פרסית,פינית,צרפתית,אירית,גליסית,גוג'ראטית,עברית,הינדי,קרואטית,הונגרית,אינדונזית,איטלקית,יפנית,גאורגית,קזחית,חמרית,קאנדה,קוריאנית,קירגיזית,ליטאית,לטבית,מקדונית,מלאיאלאם,מראטהית,מלאית,בורמזית,נורווגית ספרותית,הולנדית,פנג'אבי,פולנית,פורטוגזית (ברזיל),פורטוגזית (פורטוגל),רומנית,רוסית,סלובקית,סלובנית,אלבנית,סרבית,שוודית,סוואהילי,טמילית,טלוגו,תאית,פיליפינית,טורקית,אויגורית,אוקראינית,אורדו,וייטנאמית,קנטונזית,סינית (סין),סינית (הונג קונג),סינית מסורתית
hi-IN,अफ़्रीकी ,अरबी,अज़रबैजानी ,बुल्गारियाई ,बंगाली ,बोस्नियाई ,कातालान,चेक,डेनिश,जर्मन,यूनानी,अंग्रेज़ी,स्पेनिश,एस्टोनियाई ,बास्क,फ़ारसी ,फ़िनिश,फ़्रेंच,आयरिश ,गैलिशियन,गुजराती,हिब्रू,हिन्दी,क्रोएशियाई,हंगेरियाई,इंडोनेशियाई,इतालवी,जापानी,जॉर्जियाई,कज़ाख़ ,खमेर ,कन्नड़,कोरियाई,किर्गीज़,लिथुआनियाई,लातवियाई,मकदूनियाई,मलयालम,मराठी,मलय,बर्मीज़,नॉर्वेजियाई बोकमाल,डच,पंजाबी,पोलिश,ब्राज़ीली पुर्तगाली,यूरोपीय पुर्तगाली,रोमानियाई,रूसी,स्लोवाक,स्लोवेनियाई,अल्बानियाई,सर्बियाई,स्वीडिश,स्वाहिली,तमिल,तेलुगू ,थाई,फ़िलिपीनो,तुर्की,उइगर,यूक्रेनियाई,उर्दू,वियतनामी,कैंटोनीज़,चीनी (चीन),चीनी (हाँग काँग),पारंपरिक चीनी
hr-HR,afrikaans,arapski,azerbajdžanski,bugarski,bengalski,bosanski,katalonski,češki,danski,njemački,grčki,engleski,španjolski,estonski,baskijski,perzijski,finski,francuski,irski,galicijski,gudžaratski,hebrejski,hindski,hrvatski,mađarski,indonezijski,talijanski,japanski,gruzijski,kazaški,kmerski,karnatački,korejski,kirgiski,litavski,latvijski,makedonski,malajalamski,marathski,malajski,burmanski,norveški bokmål,nizozemski,pandžapski,poljski,brazilski portugalski,europski portugalski,rumunjski,ruski,slovački,slovenski,albanski,srpski,švedski,svahilski,tamilski,teluški,tajski,filipinski,turski,ujgurski,ukrajinski,urdski,vijetnamski,kantonski,kineski (Kina),kineski (Hong Kong),kineski (tradicionalni)
hu,Afrikaans,Arab,Azerbajdzsáni,Bolgár,Bangla,Bosnyák,Katalán,Cseh,Dán,Német,Görög,Angol,Spanyol,Észt,Baszk,Perzsa,Finn,Francia,Ír,Gallego,Gudzsaráti,Héber,Hindi,Horvát,Magyar,Indonéz,Olasz,Japán,Grúz,Kazah,Khmer,Kannada,Koreai,Kirgiz,Litván,Lett,Macedón,Malajálam,Maráthi,Maláj,Burmai,Norvég,Holland,Pandzsábi,Lengyel,Brazíliai portugál,Európai portugál,Román,Orosz,Szlovák,Szlovén,Albán,Szerb,Svéd,Szuahéli,Tamil,Telugu,Thai,Filippínó,Török,Ujgur,Ukrán,Urdu,Vietnámi,Kantoni,Kínai (Kína),Kínai (Hongkong),Hagyományos kínai
id,Afrikaans,Arab,Azerbaijan,Bulgaria,Bengali,Bosnia,Katalan,Ceko,Denmark,Jerman,Yunani,Inggris,Spanyol,Estonia,Basque,Persia,Finlandia,Prancis,Irlandia,Galisia,Gujarat,Ibrani,Hindi,Kroasia,Hungaria,Indonesia,Italia,Jepang,Georgia,Kazakh,Khmer,Kannada,Korea,Kirgiz,Lituania,Latvia,Makedonia,Malayalam,Marathi,Melayu,Burma,Bokmål Norwegia,Belanda,Punjabi,Polandia,Portugis (Brasil),Portugis (Eropa),Rumania,Rusia,Slowakia,Slovenia,Albania,Serbia,Swedia,Swahili,Tamil,Telugu,Thai,Filipino,Turki,Uyghur,Ukraina,Urdu,Vietnam,Kanton,Mandarin (Tiongkok),Mandarin (Hong Kong),Mandarin Tradisional
it,Afrikaans,Arabo,Azero,Bulgaro,Bengalese,Bosniaco,Catalano,Ceco,Danese,Tedesco,Greco,Inglese,Spagnolo,Estone,Basco,Persiano,Finlandese,Francese,Irlandese,Galiziano,Gujarati,Ebraico,Hindi,Croato,Ungherese,Indonesiano,Italiano,Giapponese,Georgiano,Kazako,Khmer,Kannada,Coreano,Kirghiso,Lituano,Lettone,Macedone,Malayalam,Marathi,Malese,Birmano,Norvegese bokmål,Olandese,Punjabi,Polacco,Portoghese (brasiliano),Portoghese (europeo),Rumeno,Russo,Slovacco,Sloveno,Albanese,Serbo,Svedese,Swahili,Tamil,Telugu,Thailandese,Filippino,Turco,Uiguro,Ucraino,Urdu,Vietnamita,Cantonese,Cinese (Cina),Cinese (Hong Kong),Cinese tradizionale
ja,アフリカーンス語,アラビア語,アゼルバイジャン語,ブルガリア語,ベンガル語,ボスニア語,カタロニア語,チェコ語,デンマーク語,ドイツ語,ギリシャ語,英語,スペイン語,エストニア語,バスク語,ペルシア語,フィンランド語,フランス語,アイルランド語,ガリシア語,グジャラート語,ヘブライ語,ヒンディー語,クロアチア語,ハンガリー語,インドネシア語,イタリア語,日本語,ジョージア語,カザフ語,クメール語,カンナダ語,韓国語,キルギス語,リトアニア語,ラトビア語,マケドニア語,マラヤーラム語,マラーティー語,マレー語,ミャンマー語,ノルウェー語,オランダ語,パンジャブ語,ポーランド語,ポルトガル語 (ブラジル),ポルトガル語 (ヨーロッパ),ルーマニア語 ,ロシア語,スロバキア語 ,スロベニア語 ,アルバニア語,セルビア語,スウェーデン語,スワヒリ語,タミル語,テルグ語 ,タイ語,フィリピノ語,トルコ語,ウイグル語,ウクライナ語,ウルドゥー語,ベトナム語,広東語,中国語 (中国),中国語 (香港),繁体字中国語
ka-GE,აფრიკული ,არაბული,აზერბაიჯანული ,ბულგარული ,ბენგალური,ბოსნიური ,კატალონიური,ჩეხური,დანიური,გერმანული,ბერძნული,ინგლისური,ესპანური,ესტონური ,ბასკური,სპარსული ,ფინური,ფრანგული,ირლანდიური ,გალისიური,გუჯარათი,ებრაული,ჰინდი,ხორვატიული,უნგრული,ინდონეზიური,იტალიური,იაპონური,ქართული,ყაზახური,ქმერული,კანადა,კორეული,ყირგიზული,ლიტვური,ლატვიური,მაკედონიური,მალაიალამური,მარათული,მალაური,ბირმული,ნორვეგიული ბოკმალი,ჰოლანდიური,პენჯაბური,პოლონური,Portuguese (Brazil),Portuguese (Portugal),რუმინული,რუსული,სლოვაკური,სლოვენური,ალბანური,სერბული,შვედური,სუაჰილი,ტამილური,ტელუგუ,ტაილანდური,ფილიპინური,თურქული,უიღური,უკრაინული,ურდუ,ვიეტნამური,კანტონური,ჩინური (ჩინეთი),ჩინური (ჰონკონგი),ტრადიციული ჩინური
kk-KZ,африкаанс тілі ,араб тілі,әзербайжан тілі,болгар тілі,бангла тілі,босния тілі,каталондық тіл,чех тілі,дат тілі,неміс тілі,грек тілі,ағылшын тілі,испан тілі,эстон тілі,баск тілі,парсы тілі,фин тілі,француз тілі,ирландық тіл,галисий тілі,гуджарати тілі,иврит,хинди,хорват тілі,венгр тілі,индонезия тілі,итальян тілі,жапон тілі,грузин тілі,қазақ тілі,кхмер тілі,каннада тілі,кәріс тілі,қырғыз тілі,литва тілі,латыш тілі,македониялық тіл,малаялам тілі,марати тілі,малай тілі,бирма тілі,норвег тілі,голланд тілі,пенджаби тілі,поляк тілі,бразилиялық португал тілі,еуропалық португал тілі,румын тілі,орыс тілі,словак тілі,словен тілі,албан тілі,серб тілі,швед тіілі,суахили тілі,тамиль тілі,телугу тілі,тай тілі,филиппин тілі,түрік тілі,ұйғыр тілі,украин тілі,урду тілі,вьетнам тілі,кантон тілі,қытай тілі (Қытай),қытай тілі (Гонконг),дәстүрлі қытай тілі
